iter	Passed	Remaining
590	31957	22116
591	32007	22058
592	32045	21993
593	32092	21935
594	32144	21879
595	32184	21816
596	32222	21751
597	32264	21689
598	32307	21628
599	32357	21571
600	32402	21512
601	32440	21447
602	32492	21392
603	32528	21326
604	32586	21275
605	32653	21229
606	32712	21179
607	32826	21164
608	32958	21160
609	33002	21099
610	33040	21035
611	33084	20975
612	33109	20902
613	33157	20844
614	33198	20782
615	33238	20719
616	33282	20659
617	33330	20602
618	33364	20536
619	33395	20468
620	33427	20400
621	33462	20335
622	33505	20275
623	33545	20213
624	33584	20150
625	33652	20105
626	33695	20045
627	33767	20002
628	33863	19973
629	33912	19917
630	33960	19859
631	34007	19801
632	34048	19740
633	34090	19680
634	34127	19616
635	34162	19552
636	34203	19491
637	34240	19427
638	34282	19368
639	34311	19300
640	34341	19233
641	34375	19168
642	34412	19106
643	34446	19041
644	34483	18979
645	34525	18919
646	34551	18851
647	34590	18790
648	34617	18722
649	34650	18658
650	34681	18592
651	34747	18546
652	34792	18488
653	34830	18426
654	34868	18365
655	34915	18309
656	34961	18252
657	35001	18192
658	35050	18137
659	35087	18075
660	35121	18012
661	35165	17954
662	35198	17891
663	35230	17827
664	35271	17768
665	35308	17707
666	35355	17651
667	35398	17593
668	35422	17526
669	35458	17464
670	35500	17406
671	35547	17350
672	35602	17298
673	35648	17242
674	35687	17182
675	35724	17122
676	35767	17065
677	35805	17004
678	35834	16940
679	35882	16885
680	35919	16825
681	35956	16765
682	35981	16700
683	36026	16643
684	36072	16588
685	36115	16531
686	36156	16473
687	36187	16410
688	36222	16350
689	36262	16291
690	36311	16237
691	36347	16177
692	36382	16117
693	36428	16062
694	36457	15999
695	36494	15940
696	36518	15875
697	36566	15821
698	36620	15769
699	36667	15714
700	36735	15668
701	36779	15613
702	36850	15568
703	36911	15519
704	36958	15465
705	37001	15408
706	37049	15354
707	37083	15294
708	37127	15238
709	37165	15180
710	37210	15124
711	37256	15069
712	37298	15013
713	37345	14958
714	37390	14903
715	37432	14847
716	37479	14793
717	37526	14738
718	37567	14682
719	37614	14627
720	37650	14569
721	37689	14512
722	37730	14455
723	37772	14399
724	37809	14341
725	37839	14281
726	37884	14226
727	37934	14173
728	37972	14115
729	38003	14056
730	38028	13994
731	38069	13937
732	38110	13882
733	38149	13825
734	38199	13772
735	38296	13736
736	38348	13684
737	38415	13638
738	38459	13582
739	38491	13524
740	38519	13463
741	38595	13419
742	38648	13368
743	38707	13318
744	38736	13258
745	38789	13207
746	38877	13167
747	38916	13110
748	38962	13056
749	39011	13003
750	39047	12946
751	39084	12889
752	39129	12835
753	39173	12780
754	39217	12726
755	39259	12670
756	39311	12619
757	39346	12561
758	39384	12505
759	39412	12446
760	39453	12390
761	39503	12338
762	39549	12284
763	39624	12239
764	39678	12188
765	39715	12132
766	39773	12082
767	39813	12027
768	39858	11973
769	39902	11919
770	39943	11863
771	39985	11809
772	40022	11753
773	40058	11696
774	40085	11637
775	40123	11581
776	40148	11522
777	40188	11467
778	40211	11407
779	40249	11352
780	40295	11299
781	40337	11245
782	40385	11192
783	40418	11135
784	40462	11082
785	40506	11028
786	40543	10973
787	40595	10921
788	40665	10874
789	40707	10821
790	40764	10771
791	40821	10720
792	40870	10668
793	40919	10616
794	40966	10563
795	41004	10508
796	41043	10453
797	41083	10399
798	41119	10344
799	41151	10287
800	41188	10232
801	41224	10177
802	41266	10123
803	41314	10071
804	41344	10015
805	41379	9959
806	41430	9908
807	41464	9852
808	41504	9799
809	41550	9746
810	41583	9690
811	41633	9639
812	41704	9592
813	41780	9546
814	41823	9493
815	41881	9443
816	41935	9393
817	41983	9341
818	42028	9288
819	42067	9234
820	42102	9179
821	42150	9127
822	42195	9074
823	42227	9019
824	42279	8968
825	42323	8915
826	42359	8861
827	42395	8806
828	42427	8751
829	42464	8697
830	42505	8644
831	42546	8591
832	42585	8537
833	42620	8483
834	42655	8428
835	42695	8375
836	42747	8324
837	42782	8270
838	42823	8217
839	42862	8164
840	42906	8111
841	42955	8060
842	43001	8008
843	43025	7952
844	43064	7899
845	43100	7845
846	43146	7793
847	43184	7740
848	43224	7687
849	43264	7634
850	43297	7580
851	43339	7528
852	43379	7475
853	43410	7421
854	43452	7369
855	43491	7316
856	43532	7263
857	43573	7211
858	43610	7158
859	43648	7105
860	43673	7050
861	43709	6997
862	43746	6944
863	43784	6891
864	43823	6839
865	43864	6787
866	43904	6735
867	43941	6682
868	43985	6630
869	44030	6579
870	44068	6526
871	44104	6474
872	44132	6420
873	44172	6368
874	44208	6315
875	44245	6263
876	44282	6210
877	44325	6159
878	44373	6108
879	44419	6057
880	44456	6004
881	44493	5952
882	44539	5901
883	44564	5847
884	44601	5795
885	44639	5743
886	44681	5692
887	44720	5640
888	44750	5587
889	44783	5535
890	44827	5483
891	44871	5432
892	44909	5381
893	44952	5329
894	44986	5277
895	45030	5226
896	45067	5174
897	45111	5124
898	45153	5072
899	45190	5021
900	45226	4969
901	45267	4918
902	45293	4865
903	45317	4812
904	45366	4762
905	45433	4713
906	45481	4663
907	45580	4618
908	45983	4603
909	46477	4596
910	47474	4638
911	47726	4605
912	48118	4585
913	48270	4541
914	48458	4501
915	48611	4457
916	48718	4409
917	48852	4363
918	48974	4316
919	49053	4265
920	49137	4214
921	49203	4162
922	49277	4110
923	49392	4062
924	49712	4030
925	49923	3989
926	50027	3939
927	50154	3891
928	50225	3838
929	50304	3786
930	50372	3733
931	50425	3679
932	50487	3625
933	50609	3576
934	50752	3528
935	50850	3476
936	50952	3425
937	51008	3371
938	51148	3322
939	51265	3272
940	51337	3218
941	51393	3164
942	51461	3110
943	51580	3059
944	51715	3009
945	51790	2956
946	51841	2901
947	51923	2848
948	52120	2800
949	52258	2750
950	52338	2696
951	52409	2642
952	52496	2589
953	52598	2536
954	52704	2483
955	52820	2431
956	52885	2376
957	52929	2320
958	52979	2265
959	53043	2210
960	53093	2154
961	53148	2099
962	53178	2043
963	53230	1987
964	53264	1931
965	53297	1875
966	53359	1820
967	53402	1765
968	53461	1710
969	53515	1655
970	53577	1600
971	53627	1544
972	53675	1489
973	53700	1433
974	53743	1378
975	53790	1322
976	53845	1267
977	53897	1212
978	53948	1157
979	54003	1102
980	54044	1046
981	54091	991
982	54127	936
983	54176	880
984	54219	825
985	54271	770
986	54321	715
987	54380	660
988	54430	605
989	54477	550
990	54560	495
991	54645	440
992	54708	385
993	54809	330
994	54919	275
995	55007	220
996	55069	165
997	55299	110
998	55386	55
999	55442	0
