iter	Passed	Remaining
810	21771	5073
811	21796	5046
812	21822	5019
813	21852	4993
814	21875	4965
815	21900	4938
816	21926	4911
817	21951	4884
818	21977	4856
819	22002	4829
820	22031	4803
821	22062	4777
822	22090	4751
823	22114	4723
824	22143	4697
825	22167	4669
826	22190	4642
827	22213	4614
828	22245	4588
829	22268	4560
830	22292	4533
831	22319	4506
832	22344	4479
833	22365	4451
834	22391	4424
835	22420	4398
836	22447	4371
837	22473	4344
838	22501	4317
839	22523	4290
840	22548	4263
841	22578	4236
842	22607	4210
843	22629	4182
844	22654	4155
845	22677	4128
846	22693	4099
847	22714	4071
848	22728	4042
849	22746	4014
850	22764	3985
851	22790	3958
852	22817	3932
853	22838	3904
854	22861	3877
855	22887	3850
856	22913	3823
857	22938	3796
858	22954	3767
859	22982	3741
860	23006	3714
861	23034	3687
862	23062	3661
863	23087	3634
864	23115	3607
865	23137	3580
866	23163	3553
867	23190	3526
868	23220	3500
869	23261	3475
870	23296	3450
871	23323	3423
872	23349	3396
873	23372	3369
874	23393	3341
875	23422	3315
876	23458	3290
877	23481	3262
878	23506	3235
879	23536	3209
880	23558	3182
881	23584	3155
882	23609	3128
883	23633	3101
884	23654	3073
885	23680	3046
886	23701	3019
887	23727	2992
888	23751	2965
889	23774	2938
890	23802	2911
891	23831	2885
892	23863	2859
893	23879	2831
894	23897	2803
895	23928	2777
896	23952	2750
897	23976	2723
898	24000	2696
899	24029	2669
900	24056	2643
901	24080	2616
902	24101	2588
903	24127	2562
904	24157	2535
905	24180	2508
906	24209	2482
907	24238	2455
908	24267	2429
909	24287	2402
910	24309	2374
911	24331	2347
912	24357	2321
913	24383	2294
914	24408	2267
915	24436	2240
916	24463	2214
917	24490	2187
918	24516	2160
919	24541	2134
920	24570	2107
921	24594	2080
922	24622	2054
923	24658	2028
924	24687	2001
925	24710	1974
926	24745	1948
927	24771	1921
928	24795	1895
929	24821	1868
930	24860	1842
931	24890	1816
932	24914	1789
933	24940	1762
934	24965	1735
935	24990	1708
936	25019	1682
937	25052	1655
938	25076	1629
939	25103	1602
940	25125	1575
941	25151	1548
942	25177	1521
943	25193	1494
944	25220	1467
945	25244	1441
946	25271	1414
947	25293	1387
948	25318	1360
949	25346	1334
950	25375	1307
951	25406	1280
952	25447	1255
953	25482	1228
954	25521	1202
955	25540	1175
956	25558	1148
957	25574	1121
